X,Y,OBJECTID,Stop,Place,Loca_latitude,Loca_longitude,Description,Street_dir_,Shelt_,Shelter_resp_,Bench,Trash_can,Route_Number,Route_Name
-83.0578171120016,42.4187051110029,3017,5043,,42.4187051112029,-83.057817111692,McNichols & Justine,EB,0,,0,0,32,McNichols
-83.0574050150016,42.4188389570029,3018,5044,,42.4188389573164,-83.0574050148806,McNichols & Eureka,WB,0,,0,0,32,McNichols
-83.0557010600016,42.4187570110028,3019,5045,,42.418757010883,-83.0557010599939,McNichols & Hasse,EB,0,,0,0,32,McNichols
-83.0552351070016,42.4188800730028,3020,5046,,42.4188800733503,-83.055235106869,McNichols & Healy,WB,0,,0,0,32,McNichols
-83.0537818270016,42.4187669600028,3021,5047,,42.4187669601626,-83.0537818267966,McNichols & Fenelon,EB,0,,0,0,32,McNichols
-83.0533770640016,42.4189038950028,3022,5048,,42.4189038953934,-83.0533770635199,McNichols & Fenelon,WB,0,,0,0,32,McNichols
-83.0503690480016,42.4188520720029,3023,5049,,42.4188520715984,-83.0503690480111,McNichols & Keystone,EB,0,,0,0,32,McNichols
-83.0501880700016,42.4190031150029,3024,5050,,42.4190031145496,-83.0501880695434,McNichols & Moenart,WB,0,,0,0,32,McNichols
-83.0485420430016,42.4189318860028,3025,5051,,42.4189318863203,-83.0485420433384,McNichols & Bloom,EB,0,,0,0,32,McNichols
-83.0361061540016,42.4191640220029,3026,5056,,42.4191640218754,-83.0361061542655,McNichols @ 6450 E,EB,0,,0,0,32,McNichols
-83.0263250800016,42.4193838820028,3027,5057,,42.4193838818322,-83.0263250804206,McNichols & Eldon,EB,0,,0,0,32,McNichols
-83.2571279890016,42.4145468770029,3028,5863,,42.4145468766859,-83.2571279889771,McNichols & Lahser,EB,0,,0,0,32,McNichols
-83.2537020470016,42.4146368640028,3029,5869,,42.414636863503,-83.2537020469296,McNichols & Chapel,EB,0,,0,0,32,McNichols
-83.2523408990017,42.4148899980028,3030,5874,,42.4148899975489,-83.2523408988726,McNichols & Bentler,WB,0,,0,0,32,McNichols
